,age,job,marital,education,balance,housing,duration,campaign,approval
114,25.0,student,single,secondary,331,no,170.0,4,yes
115,25.0,technician,single,secondary,505,no,386.0,2,yes
116,30.0,services,married,secondary,1808,yes,83.0,2,no
117,22.0,admin.,single,secondary,4111,no,65.0,1,no
118,39.0,blue-collar,married,primary,52,no,69.0,1,no
119,46.0,management,divorced,tertiary,25,no,564.0,2,no
120,31.0,admin.,divorced,secondary,1890,yes,588.0,1,no
121,45.0,blue-collar,married,primary,419,no,113.0,4,no
122,32.0,technician,married,secondary,2693,yes,16.0,1,no
123,36.0,blue-collar,married,secondary,-231,no,779.0,2,no
124,51.0,management,single,tertiary,-55,yes,281.0,2,no
125,34.0,self-employed,single,tertiary,462,no,1877.0,3,yes
126,24.0,unemployed,single,secondary,119,no,51.0,1,no
127,45.0,technician,single,secondary,586,no,32.0,3,no
128,32.0,blue-collar,single,secondary,228,no,176.0,1,no
129,77.0,retired,divorced,tertiary,4659,no,161.0,1,yes
130,41.0,blue-collar,married,primary,168,yes,187.0,3,no
131,37.0,blue-collar,married,primary,0,yes,24.0,1,no
132,43.0,blue-collar,married,unknown,-715,yes,67.0,3,no
133,48.0,admin.,married,unknown,0,yes,85.0,1,no
134,27.0,technician,single,secondary,769,yes,317.0,2,no
135,33.0,management,single,tertiary,0,no,-98.0,10,no
136,29.0,admin.,single,secondary,428,yes,54.0,1,no
137,34.0,management,single,tertiary,0,no,71.0,1,no
138,52.0,management,married,tertiary,-970,yes,489.0,1,yes
139,60.0,management,married,unknown,6313,no,39.0,2,no
140,32.0,management,divorced,tertiary,948,no,204.0,2,no
141,32.0,management,single,tertiary,0,yes,455.0,2,no
142,56.0,services,divorced,unknown,1877,yes,86.0,1,no
143,31.0,management,single,tertiary,874,yes,190.0,2,no
144,42.0,admin.,married,secondary,323,yes,280.0,2,no
145,35.0,management,married,tertiary,106,no,588.0,2,no
146,56.0,retired,married,primary,1906,no,45.0,9,no
147,48.0,technician,married,secondary,1152,yes,168.0,5,no
148,46.0,admin.,married,secondary,179,yes,194.0,4,no
149,37.0,technician,single,unknown,391,yes,103.0,3,no
150,41.0,entrepreneur,married,unknown,89,yes,333.0,2,no
151,36.0,management,single,tertiary,442,yes,102.0,3,no
152,45.0,unemployed,divorced,primary,-249,yes,92.0,1,no
153,55.0,entrepreneur,married,secondary,8104,no,213.0,2,no
154,39.0,technician,married,secondary,501,no,289.0,1,no
155,35.0,technician,divorced,secondary,308,no,77.0,2,no
156,55.0,admin.,married,secondary,602,no,324.0,3,yes
157,55.0,technician,married,secondary,273,yes,84.0,3,no
158,27.0,self-employed,single,secondary,50,no,168.0,1,no
159,34.0,technician,married,secondary,1641,yes,380.0,1,no
160,34.0,blue-collar,married,tertiary,20,no,10.0,1,no
161,25.0,admin.,single,secondary,4590,yes,199.0,2,no
162,41.0,admin.,single,secondary,-256,no,-35.0,3,no
163,43.0,services,married,secondary,978,yes,82.0,2,no
164,28.0,management,single,tertiary,80,no,676.0,2,yes
165,31.0,admin.,single,secondary,2104,yes,455.0,1,no
166,78.0,housemaid,married,secondary,499,no,80.0,4,no
167,45.0,blue-collar,divorced,secondary,1269,yes,549.0,2,no
168,48.0,technician,married,tertiary,310,no,135.0,1,no
169,32.0,blue-collar,single,secondary,1143,yes,412.0,1,no
170,42.0,technician,married,secondary,2980,no,101.0,3,no
171,37.0,management,single,tertiary,37,no,253.0,2,no
172,40.0,admin.,single,secondary,462,yes,272.0,1,no
173,32.0,admin.,married,secondary,1031,yes,84.0,1,no
174,42.0,management,married,tertiary,9009,no,135.0,2,no
175,43.0,admin.,married,secondary,-465,yes,166.0,1,no
176,44.0,admin.,married,secondary,5181,yes,18.0,7,no
177,37.0,admin.,married,secondary,176,yes,147.0,2,no
178,37.0,unknown,married,unknown,1699,no,63.0,1,no
179,37.0,admin.,married,tertiary,0,yes,65.0,2,no
180,28.0,technician,single,tertiary,172,yes,194.0,2,no
181,32.0,services,single,secondary,0,no,333.0,2,no
182,34.0,admin.,single,secondary,6979,yes,14.0,5,no
183,40.0,admin.,divorced,secondary,6,no,140.0,1,no
184,34.0,services,married,secondary,-62,yes,109.0,3,no
185,34.0,self-employed,married,tertiary,1972,yes,61.0,2,no
186,34.0,admin.,married,tertiary,899,yes,377.0,3,no
187,37.0,services,single,secondary,21,yes,96.0,1,no
188,36.0,technician,married,secondary,23,yes,152.0,2,no
189,56.0,retired,married,secondary,-1206,yes,382.0,2,yes
190,49.0,blue-collar,married,primary,0,yes,97.0,6,no
191,33.0,self-employed,married,secondary,215,yes,543.0,12,no
192,30.0,management,single,tertiary,1372,no,240.0,2,no
193,36.0,services,married,secondary,1981,no,48.0,2,no
194,23.0,student,single,secondary,9216,no,471.0,2,no
195,57.0,retired,divorced,secondary,39,yes,354.0,3,no
196,27.0,blue-collar,single,secondary,5563,yes,435.0,2,no
197,38.0,services,married,secondary,1,no,152.0,2,no
198,42.0,technician,married,tertiary,782,no,285.0,1,no
199,75.0,retired,married,secondary,3771,no,185.0,1,yes
200,34.0,technician,single,tertiary,992,yes,301.0,1,no
201,48.0,technician,married,secondary,1526,no,273.0,2,no
202,35.0,technician,single,tertiary,2658,yes,768.0,2,yes
203,39.0,management,divorced,tertiary,1315,yes,1337.0,4,no
204,29.0,blue-collar,single,tertiary,455,no,403.0,1,yes
205,45.0,technician,single,tertiary,0,yes,139.0,2,no
206,42.0,technician,married,secondary,2030,yes,196.0,1,no
207,29.0,technician,married,secondary,1599,yes,115.0,1,no
208,38.0,services,single,secondary,-196,yes,60.0,1,no
209,56.0,retired,married,secondary,1333,no,17.0,14,no
210,36.0,technician,single,secondary,9149,yes,141.0,3,no
211,25.0,blue-collar,single,secondary,-350,yes,95.0,3,no
212,38.0,technician,married,tertiary,432,yes,10.0,2,no
213,57.0,self-employed,married,secondary,11494,no,198.0,1,no
214,31.0,management,married,tertiary,-253,no,220.0,4,no
215,42.0,management,married,tertiary,372,yes,654.0,2,yes
216,45.0,technician,married,secondary,1410,no,71.0,2,no
217,30.0,blue-collar,married,secondary,975,yes,256.0,2,no
218,49.0,blue-collar,married,primary,305,yes,834.0,10,no
219,49.0,services,married,secondary,400,no,151.0,3,no
220,53.0,retired,married,tertiary,-22,yes,20.0,3,no
221,37.0,technician,married,secondary,4030,yes,178.0,5,no
222,49.0,blue-collar,married,primary,365,no,59.0,2,no
223,41.0,self-employed,married,primary,204,no,111.0,7,no
224,54.0,management,married,primary,1691,yes,186.0,1,no
225,32.0,services,single,secondary,406,yes,227.0,1,no
226,33.0,technician,married,secondary,-204,no,297.0,3,no
227,33.0,technician,married,secondary,359,yes,210.0,1,no
228,36.0,blue-collar,married,primary,123,yes,9.0,1,no
229,35.0,technician,married,tertiary,0,yes,112.0,1,no
230,52.0,unknown,married,secondary,142,no,112.0,6,no
231,40.0,entrepreneur,married,tertiary,3571,no,222.0,3,no
232,44.0,technician,single,secondary,33,yes,195.0,3,no
233,45.0,blue-collar,single,secondary,0,yes,768.0,2,no
234,30.0,student,single,secondary,3096,no,123.0,1,no
235,48.0,technician,divorced,secondary,20,no,145.0,3,no
236,33.0,blue-collar,married,secondary,3576,yes,124.0,1,no
237,57.0,technician,married,unknown,206,yes,216.0,3,no
238,57.0,housemaid,married,primary,7082,no,69.0,3,no
239,51.0,unemployed,married,tertiary,1634,yes,168.0,4,no
240,34.0,admin.,single,secondary,1,yes,483.0,7,no
241,50.0,self-employed,married,tertiary,4012,no,690.0,3,no
242,44.0,management,married,tertiary,3762,no,125.0,12,no
243,27.0,admin.,married,secondary,-247,yes,344.0,2,no
244,50.0,blue-collar,married,secondary,606,yes,673.0,2,no
245,36.0,management,married,tertiary,0,yes,60.0,1,no
246,42.0,management,married,secondary,-189,yes,247.0,2,no
247,32.0,unemployed,single,secondary,0,no,123.0,2,no
248,42.0,management,married,tertiary,484,yes,144.0,2,no
249,43.0,technician,married,secondary,0,no,9.0,2,no
250,31.0,management,married,tertiary,395,yes,155.0,3,no
251,32.0,management,married,tertiary,2349,no,134.0,5,no
252,55.0,blue-collar,divorced,primary,410,no,221.0,2,no
253,58.0,retired,married,primary,3401,yes,84.0,3,no
254,46.0,blue-collar,married,primary,222,no,71.0,2,no
255,55.0,blue-collar,married,secondary,989,yes,246.0,4,no
256,34.0,management,married,tertiary,415,no,361.0,2,no
257,28.0,unemployed,single,secondary,16,no,119.0,4,no
258,42.0,technician,divorced,tertiary,7190,yes,375.0,2,no
259,29.0,blue-collar,single,secondary,482,no,1097.0,3,yes
260,54.0,housemaid,married,secondary,209,yes,97.0,1,no
261,32.0,technician,single,secondary,0,no,181.0,2,no
262,39.0,technician,single,tertiary,5803,no,83.0,3,no
263,53.0,entrepreneur,married,tertiary,624,no,180.0,4,no
264,58.0,technician,married,tertiary,883,no,543.0,1,no
265,40.0,self-employed,married,secondary,1516,yes,373.0,1,no
266,29.0,student,single,secondary,872,yes,230.0,1,no
267,33.0,technician,married,tertiary,-988,yes,83.0,3,no
268,38.0,admin.,single,secondary,902,yes,58.0,13,no
269,56.0,services,divorced,secondary,1007,no,88.0,6,no
270,40.0,services,married,secondary,0,yes,297.0,1,no
271,24.0,blue-collar,single,secondary,174,yes,487.0,1,yes
272,46.0,management,married,secondary,12186,no,29.0,3,no
273,35.0,self-employed,married,secondary,524,yes,484.0,4,no
274,35.0,blue-collar,single,tertiary,0,yes,262.0,4,no
275,34.0,technician,married,secondary,4,yes,644.0,1,no
276,35.0,housemaid,married,tertiary,11219,no,699.0,2,no
277,38.0,technician,single,tertiary,0,no,247.0,2,no
278,50.0,blue-collar,married,primary,5776,no,49.0,3,no
279,51.0,blue-collar,divorced,primary,37,yes,341.0,1,no
280,59.0,self-employed,married,tertiary,593,no,64.0,2,no
281,32.0,blue-collar,married,secondary,1148,yes,121.0,1,no
282,37.0,blue-collar,single,secondary,3561,yes,98.0,1,no
283,42.0,admin.,divorced,secondary,63,no,88.0,6,no
284,40.0,student,married,secondary,260,no,197.0,6,no
285,28.0,technician,single,tertiary,2269,yes,331.0,1,no
286,47.0,admin.,married,secondary,1060,yes,83.0,3,no
287,27.0,self-employed,married,secondary,-220,yes,138.0,2,no
288,41.0,management,married,tertiary,49,yes,312.0,5,no
289,34.0,admin.,married,tertiary,69,no,120.0,3,yes
290,50.0,blue-collar,married,primary,4108,yes,526.0,2,yes
291,47.0,blue-collar,married,secondary,480,yes,211.0,2,no
292,53.0,services,married,secondary,4994,no,62.0,6,no
293,53.0,technician,divorced,secondary,0,yes,135.0,5,no
294,47.0,management,married,tertiary,3681,no,101.0,2,no
295,49.0,entrepreneur,divorced,unknown,-701,yes,988.0,2,yes
296,29.0,management,married,tertiary,451,no,451.0,1,no
297,45.0,blue-collar,divorced,primary,-311,yes,1030.0,1,yes
298,38.0,entrepreneur,married,secondary,593,yes,1484.0,24,yes
299,32.0,blue-collar,married,secondary,759,yes,317.0,5,yes
300,70.0,retired,divorced,primary,4531,no,445.0,1,no
301,65.0,retired,divorced,primary,1840,no,383.0,2,no
302,56.0,blue-collar,married,secondary,345,yes,605.0,1,no
303,35.0,blue-collar,married,secondary,1287,yes,330.0,2,no
304,56.0,management,married,unknown,353,no,171.0,2,no
305,56.0,technician,married,secondary,205,no,442.0,2,no
306,49.0,entrepreneur,married,secondary,687,yes,772.0,1,yes
307,38.0,unemployed,married,primary,1147,yes,249.0,5,no
308,35.0,management,married,tertiary,4286,yes,357.0,1,no
309,38.0,admin.,married,tertiary,605,no,147.0,2,no
310,49.0,blue-collar,married,secondary,8545,yes,199.0,7,no
311,55.0,management,married,unknown,559,no,271.0,2,no
312,43.0,blue-collar,single,primary,2,yes,783.0,3,no
313,43.0,management,married,tertiary,2,no,472.0,2,no
314,25.0,admin.,single,tertiary,760,yes,223.0,3,yes
315,30.0,blue-collar,married,primary,1317,yes,395.0,2,no
316,46.0,blue-collar,married,secondary,182,no,56.0,1,no
317,50.0,admin.,married,primary,276,no,641.0,6,no
318,35.0,entrepreneur,married,secondary,2971,no,429.0,4,yes
319,26.0,unemployed,single,secondary,1064,no,113.0,1,no
320,45.0,admin.,married,unknown,1783,no,11.0,11,no
321,37.0,blue-collar,married,secondary,-67,no,157.0,1,no
322,60.0,self-employed,single,tertiary,179,no,79.0,4,no
323,38.0,management,married,tertiary,1199,no,178.0,1,yes
324,47.0,blue-collar,married,primary,214,yes,168.0,1,no
325,33.0,technician,married,secondary,6699,no,425.0,1,no
326,51.0,unemployed,married,secondary,1760,no,162.0,1,no
327,35.0,entrepreneur,single,tertiary,145,yes,-799.0,2,yes
328,35.0,unemployed,married,secondary,978,no,1370.0,3,yes
329,48.0,admin.,single,secondary,1150,yes,357.0,1,no
330,37.0,admin.,married,secondary,121,no,22.0,6,no
331,29.0,technician,single,tertiary,828,yes,215.0,3,no
332,34.0,admin.,married,secondary,244,yes,56.0,4,no
333,32.0,services,married,primary,228,yes,1017.0,6,yes
334,30.0,management,single,tertiary,424,no,298.0,4,yes
335,47.0,management,divorced,tertiary,447,no,126.0,1,no
336,33.0,blue-collar,married,primary,-195,no,9.0,1,no
337,33.0,management,single,tertiary,1410,yes,8.0,1,no
338,63.0,retired,married,primary,1084,no,201.0,1,no
339,51.0,self-employed,divorced,primary,10924,no,106.0,2,no
340,41.0,management,married,tertiary,832,yes,164.0,1,no
341,56.0,retired,married,tertiary,478,no,97.0,1,no
342,60.0,management,single,tertiary,0,no,151.0,1,no
343,41.0,self-employed,single,tertiary,3950,yes,96.0,2,no
344,37.0,management,single,unknown,504,yes,555.0,1,no
345,36.0,blue-collar,single,secondary,219,yes,270.0,2,no
346,57.0,management,married,tertiary,1602,no,339.0,3,no
347,55.0,management,married,primary,2587,no,328.0,2,yes
348,44.0,admin.,married,secondary,0,yes,159.0,1,no
349,47.0,self-employed,married,tertiary,2303,yes,323.0,2,no
350,31.0,blue-collar,married,secondary,1660,yes,342.0,1,no
351,35.0,management,married,tertiary,32,yes,180.0,1,no
352,39.0,management,married,tertiary,278,no,60.0,3,no
353,50.0,management,married,tertiary,4,no,223.0,1,no
354,29.0,management,married,tertiary,318,yes,1434.0,2,no
355,30.0,services,single,secondary,209,yes,30.0,2,no
356,46.0,services,married,secondary,271,yes,134.0,4,no
357,27.0,management,single,unknown,3196,no,10.0,2,no
358,48.0,admin.,divorced,secondary,4099,no,397.0,2,yes
359,26.0,student,single,secondary,2572,yes,620.0,1,no
360,36.0,management,single,tertiary,339,no,6.0,6,no
361,42.0,blue-collar,married,primary,0,yes,209.0,2,no
362,50.0,housemaid,married,primary,395,yes,419.0,2,no
363,49.0,blue-collar,married,secondary,2039,yes,283.0,2,no
364,45.0,management,married,tertiary,5450,no,188.0,2,no
365,23.0,student,single,secondary,780,no,267.0,1,no
366,38.0,technician,single,secondary,0,yes,196.0,2,no
367,32.0,management,single,tertiary,8436,yes,245.0,1,no
368,60.0,technician,single,primary,11262,no,323.0,1,yes
369,30.0,entrepreneur,married,secondary,946,yes,1065.0,1,no
370,58.0,housemaid,married,tertiary,497,no,138.0,5,no
371,60.0,retired,married,primary,55,no,207.0,1,no
372,38.0,services,married,secondary,-140,no,456.0,3,no
373,51.0,technician,married,secondary,-379,yes,261.0,1,no
374,42.0,admin.,married,secondary,-396,yes,80.0,1,no
375,30.0,services,single,secondary,0,yes,131.0,6,no
376,40.0,management,married,primary,733,yes,94.0,7,no
377,37.0,management,married,tertiary,393,yes,567.0,3,yes
378,53.0,technician,divorced,primary,7290,yes,153.0,1,no
379,27.0,services,single,secondary,468,yes,109.0,1,no
380,39.0,blue-collar,married,secondary,0,yes,53.0,1,no
381,39.0,blue-collar,married,primary,3705,yes,77.0,1,no
382,59.0,retired,married,tertiary,9676,no,234.0,2,yes
383,37.0,services,married,secondary,1328,yes,121.0,2,no
384,41.0,blue-collar,married,primary,8,yes,155.0,2,no
385,45.0,blue-collar,married,primary,61,no,108.0,1,no
386,48.0,management,married,tertiary,6613,no,159.0,3,no
387,48.0,technician,married,secondary,302,yes,208.0,3,no
388,32.0,blue-collar,married,secondary,1005,no,215.0,1,no
389,35.0,services,married,secondary,109,yes,597.0,3,no
390,33.0,management,single,tertiary,1240,yes,505.0,2,no
391,28.0,blue-collar,single,primary,0,yes,380.0,4,no
392,64.0,retired,married,unknown,2923,no,120.0,1,no
393,35.0,technician,married,secondary,0,no,106.0,4,no
394,33.0,blue-collar,married,secondary,43,yes,332.0,2,no
395,41.0,technician,married,secondary,288,yes,221.0,4,no
396,34.0,admin.,married,secondary,613,yes,80.0,1,no
397,37.0,technician,single,tertiary,6101,no,60.0,5,no
398,38.0,blue-collar,married,primary,168,yes,212.0,3,no
399,39.0,blue-collar,married,primary,7685,yes,493.0,3,no
400,35.0,technician,divorced,tertiary,4515,yes,98.0,2,no
401,28.0,blue-collar,single,secondary,517,no,681.0,1,yes
402,27.0,blue-collar,single,secondary,148,no,203.0,1,no
403,48.0,retired,married,primary,-285,no,157.0,1,no
404,50.0,blue-collar,married,secondary,887,no,287.0,1,no
405,45.0,self-employed,married,secondary,3098,yes,159.0,2,no
406,41.0,technician,married,tertiary,744,yes,125.0,1,no
407,39.0,technician,married,secondary,130,no,202.0,2,no
408,44.0,management,married,secondary,438,yes,37.0,3,no
409,54.0,admin.,married,secondary,0,no,161.0,1,yes
410,49.0,management,married,tertiary,322,no,72.0,4,no
411,34.0,blue-collar,single,secondary,186,no,342.0,1,no
412,75.0,retired,divorced,tertiary,3810,yes,262.0,1,yes
413,42.0,management,married,tertiary,0,no,325.0,2,no
414,53.0,blue-collar,married,secondary,4380,no,223.0,7,no
415,49.0,management,divorced,tertiary,755,no,1212.0,4,yes
416,31.0,services,single,secondary,2070,no,319.0,2,no
417,45.0,blue-collar,single,primary,999,no,182.0,2,no
418,39.0,self-employed,married,secondary,167,yes,330.0,1,no
419,46.0,technician,married,secondary,1322,yes,514.0,1,no
420,42.0,admin.,divorced,secondary,1076,yes,213.0,1,no
421,37.0,management,married,tertiary,502,yes,551.0,1,no
422,26.0,technician,single,tertiary,1216,yes,472.0,2,no
423,37.0,management,single,tertiary,876,yes,140.0,4,no
424,36.0,services,single,secondary,342,yes,142.0,1,no
425,29.0,blue-collar,single,primary,950,yes,135.0,3,no
426,36.0,blue-collar,married,primary,973,yes,293.0,1,no
427,26.0,technician,married,tertiary,3825,yes,107.0,1,no
428,32.0,blue-collar,married,secondary,2366,yes,127.0,2,no
429,40.0,management,married,tertiary,542,yes,1816.0,1,no
430,53.0,management,married,primary,995,no,200.0,3,no
431,29.0,management,married,tertiary,20,yes,418.0,1,no
432,34.0,technician,single,tertiary,228,yes,387.0,4,no
433,43.0,blue-collar,married,secondary,130,no,156.0,1,no
434,56.0,management,married,tertiary,217,no,121.0,2,no
435,55.0,entrepreneur,divorced,tertiary,0,no,108.0,2,no
436,31.0,self-employed,married,tertiary,259,yes,47.0,1,no
437,27.0,admin.,single,secondary,619,yes,16.0,5,no
438,36.0,management,married,secondary,644,yes,54.0,2,no
439,44.0,management,married,tertiary,22,yes,265.0,2,no
440,37.0,admin.,divorced,tertiary,4303,yes,168.0,1,no
441,30.0,admin.,single,secondary,239,yes,115.0,3,no
442,42.0,technician,single,secondary,275,no,31.0,8,no
443,30.0,management,married,tertiary,1221,yes,279.0,4,yes
444,62.0,retired,married,secondary,816,no,28.0,2,no
445,24.0,blue-collar,married,secondary,1222,yes,369.0,1,no
446,31.0,technician,married,secondary,2363,yes,247.0,1,no
447,66.0,retired,married,tertiary,2262,no,155.0,1,no
448,47.0,admin.,married,secondary,2,no,89.0,1,no
449,39.0,entrepreneur,married,tertiary,2,yes,180.0,1,no
450,35.0,technician,married,secondary,4508,yes,854.0,1,yes
451,35.0,admin.,divorced,secondary,-402,yes,46.0,1,no
452,27.0,technician,married,secondary,1577,yes,266.0,2,no
453,32.0,blue-collar,married,secondary,34,yes,321.0,2,no
454,44.0,management,married,tertiary,795,no,99.0,24,no
455,42.0,blue-collar,married,secondary,117,yes,147.0,1,no
456,34.0,self-employed,,tertiary,5462,no,430.0,1,yes
457,25.0,services,single,secondary,402,no,264.0,1,no
458,40.0,technician,single,secondary,641,no,156.0,6,no
459,43.0,management,divorced,tertiary,36,no,118.0,1,no
460,55.0,unemployed,married,tertiary,383,no,343.0,3,no
461,50.0,blue-collar,married,secondary,283,yes,226.0,3,no
462,45.0,management,divorced,tertiary,0,no,5.0,1,no
463,35.0,blue-collar,divorced,secondary,3102,yes,138.0,1,no
464,32.0,blue-collar,married,secondary,889,yes,185.0,1,yes
465,59.0,housemaid,married,secondary,0,no,722.0,1,no
466,34.0,self-employed,married,secondary,-370,yes,748.0,1,no
467,39.0,management,married,tertiary,-606,yes,142.0,1,no
468,40.0,management,single,secondary,10378,yes,523.0,3,no
469,36.0,blue-collar,single,primary,1313,yes,8.0,10,no
470,40.0,management,married,tertiary,8969,yes,153.0,1,no
471,55.0,self-employed,married,secondary,-196,yes,210.0,2,no
472,38.0,entrepreneur,married,secondary,15,yes,121.0,1,no
473,61.0,admin.,married,secondary,4608,no,212.0,1,yes
474,41.0,management,married,tertiary,666,yes,253.0,3,no
475,57.0,blue-collar,married,primary,452,yes,139.0,4,no
