appliance_type,brand,capacity_l,star_rating,features,price
Fridge,Voltas,285.0,2.0,Side-by-Side,32972
Air Conditioner,Voltas,,5.0,Inverter,47506
TV,LG,,5.0,Android,18891
TV,Mi,,2.0,4K,36400
TV,TCL,,5.0,HD Ready,34155
TV,Samsung,,5.0,4K,18707
Air Conditioner,Carrier,,,Split,39001
Air Conditioner,LG,,,Split,38042
Air Conditioner,Carrier,,,Window,58980
TV,LG,,5.0,4K,34246
Washing Machine,Whirlpool,6.0,3.0,Semi-Automatic,21435
TV,TCL,,3.0,HD Ready,41793
Washing Machine,Whirlpool,10.0,3.0,Top Load,22225
Washing Machine,IFB,10.0,5.0,Front Load,14705
Air Conditioner,Daikin,,2.0,Inverter,32379
Washing Machine,LG,8.0,2.0,Semi-Automatic,26902
TV,Samsung,,5.0,Smart,28298
Fridge,Godrej,483.0,2.0,Double Door,26287
TV,Sony,,5.0,4K,46984
Fridge,Whirlpool,431.0,4.0,Single Door,23755
Washing Machine,Samsung,8.0,4.0,Semi-Automatic,21501
Washing Machine,Godrej,5.0,2.0,Front Load,26475
TV,Sony,,3.0,Smart,18327
Washing Machine,Godrej,10.0,5.0,Semi-Automatic,35136
Washing Machine,Samsung,6.0,4.0,Top Load,32950
Air Conditioner,Daikin,,5.0,Split,31875
Air Conditioner,LG,,5.0,Split,48002
Air Conditioner,Blue Star,,2.0,Split,53256
Air Conditioner,Blue Star,,5.0,Window,49990
Fridge,Samsung,123.0,,Side-by-Side,30711
Fridge,Godrej,309.0,3.0,Single Door,20734
Air Cooler,Bajaj,,5.0,Tower,6090
Washing Machine,Samsung,7.0,,Top Load,35441
Washing Machine,Samsung,6.0,3.0,Front Load,18694
Fridge,Samsung,151.0,,Single Door,35495
Fridge,Godrej,376.0,2.0,Double Door,21078
Air Conditioner,Voltas,,5.0,Inverter,39179
TV,Sony,,5.0,Smart,44979
TV,Mi,,4.0,HD Ready,38658
Washing Machine,Whirlpool,8.0,2.0,Semi-Automatic,28977
Air Cooler,Symphony,,2.0,Portable,9272
Washing Machine,LG,10.0,4.0,Front Load,33051
Air Conditioner,Carrier,,4.0,Split,39393
Fridge,Godrej,460.0,5.0,Single Door,21260
Air Cooler,Kenstar,,3.0,Window,9550
Air Cooler,Blue Star,,3.0,Tower,4458
Air Conditioner,Carrier,,4.0,Inverter,50226
Washing Machine,Godrej,7.0,3.0,Semi-Automatic,34028
TV,LG,,5.0,Android,20285
Fridge,LG,170.0,4.0,Single Door,34561
Air Conditioner,Blue Star,,,Window,60138
Air Cooler,Voltas,,5.0,Tower,12530
Washing Machine,LG,6.0,5.0,Top Load,17383
Air Cooler,Voltas,,4.0,Portable,8591
Fridge,LG,293.0,4.0,Double Door,31448
Air Cooler,Bajaj,,3.0,Window,5573
Fridge,LG,378.0,3.0,Side-by-Side,31529
Washing Machine,IFB,5.0,4.0,Top Load,16895
Washing Machine,LG,5.0,3.0,Semi-Automatic,26800
Air Conditioner,Carrier,,3.0,Window,39408
Air Conditioner,Blue Star,,2.0,Window,28153
TV,LG,,2.0,4K,23844
TV,Mi,,3.0,HD Ready,27561
Air Conditioner,Carrier,,,Window,48296
TV,Mi,,,4K,24681
TV,Sony,,4.0,HD Ready,42713
Air Cooler,Voltas,,3.0,Portable,4641
Washing Machine,Whirlpool,7.0,4.0,Top Load,24211
Air Conditioner,Daikin,,3.0,Window,45108
Air Cooler,Kenstar,,3.0,Tower,5290
Air Conditioner,Daikin,,5.0,Inverter,45496
Fridge,Godrej,171.0,4.0,Side-by-Side,36682
Air Cooler,Bajaj,,4.0,Tower,11091
TV,TCL,,,Smart,38571
Air Cooler,Blue Star,,,Portable,11651
Air Conditioner,Carrier,,4.0,Split,45707
Air Cooler,Voltas,,4.0,Portable,7975
Washing Machine,IFB,8.0,3.0,Front Load,25586
Fridge,LG,431.0,3.0,Single Door,17297
Air Conditioner,Daikin,,5.0,Window,37838
Air Cooler,Bajaj,,5.0,Tower,10256
Washing Machine,Samsung,9.0,,Front Load,28399
Air Cooler,Voltas,,4.0,Portable,4312
Air Cooler,Kenstar,,3.0,Tower,4181
Fridge,Samsung,361.0,2.0,Double Door,26489
Air Cooler,Kenstar,,2.0,Window,7513
Air Cooler,Kenstar,,3.0,Tower,9964
Air Cooler,Bajaj,,4.0,Window,6055
Fridge,Samsung,240.0,,Double Door,22683
Air Cooler,Kenstar,,,Window,12992
Air Cooler,Kenstar,,4.0,Tower,7719
TV,Sony,,4.0,Smart,38501
Washing Machine,Samsung,9.0,,Top Load,28766
TV,Sony,,5.0,HD Ready,19758
Washing Machine,Samsung,6.0,3.0,Top Load,34523
TV,Mi,,4.0,4K,42246
TV,Mi,,3.0,4K,46303
Air Conditioner,Blue Star,,4.0,Split,47376
Air Conditioner,Daikin,,4.0,Inverter,53185
Fridge,Samsung,100.0,4.0,Double Door,30599
TV,Samsung,,3.0,HD Ready,26409
TV,LG,,,4K,46679
Washing Machine,IFB,5.0,4.0,Semi-Automatic,35635
Washing Machine,Godrej,8.0,2.0,Top Load,16964
TV,LG,,2.0,4K,14993
Washing Machine,Samsung,10.0,5.0,Front Load,20200
Fridge,Voltas,279.0,4.0,Side-by-Side,29710
Fridge,Samsung,407.0,5.0,Side-by-Side,37472
Air Conditioner,Carrier,,2.0,Inverter,57012
Fridge,Samsung,136.0,5.0,Double Door,31894
Air Conditioner,Blue Star,,5.0,Window,27481
TV,LG,,,Smart,48710
Air Cooler,Voltas,,5.0,Window,6066
Washing Machine,Samsung,8.0,3.0,Semi-Automatic,33773
Washing Machine,LG,8.0,,Top Load,25345
Fridge,Samsung,183.0,,Side-by-Side,29949
TV,LG,,,HD Ready,31901
Air Conditioner,LG,,4.0,Window,34353
Fridge,Voltas,216.0,,Side-by-Side,38274
Fridge,Godrej,176.0,4.0,Double Door,19880
Air Cooler,Blue Star,,,Portable,7232
Air Conditioner,LG,,,Window,52965
TV,LG,,5.0,HD Ready,31320
Air Cooler,Symphony,,5.0,Window,3609
TV,Samsung,,,HD Ready,20787
Air Cooler,Bajaj,,2.0,Tower,12385
TV,Mi,,5.0,Smart,40625
Washing Machine,Samsung,7.0,3.0,Front Load,34074
Washing Machine,LG,9.0,2.0,Top Load,17000
TV,Mi,,5.0,Smart,36696
Fridge,LG,460.0,3.0,Single Door,36442
Fridge,Samsung,362.0,4.0,Double Door,14731
Air Cooler,Bajaj,,5.0,Window,3338
Fridge,Samsung,305.0,2.0,Single Door,25286
Fridge,Samsung,165.0,4.0,Side-by-Side,16220
Washing Machine,IFB,8.0,4.0,Front Load,23420
Washing Machine,Whirlpool,6.0,4.0,Front Load,31810
Air Conditioner,Blue Star,,,Split,58479
Air Conditioner,LG,,3.0,Window,45666
TV,LG,,3.0,Smart,18303
Air Conditioner,Daikin,,,Split,29793
Washing Machine,IFB,6.0,3.0,Front Load,20632
TV,TCL,,5.0,Android,33409
Fridge,LG,212.0,5.0,Single Door,17412
Air Conditioner,Daikin,,3.0,Split,35454
Fridge,Voltas,291.0,,Double Door,37322
TV,LG,,4.0,Android,27142
Air Conditioner,Daikin,,3.0,Window,25867
Air Conditioner,Voltas,,2.0,Inverter,40017
TV,LG,,3.0,Smart,28176
TV,Samsung,,,Smart,27512
Air Cooler,Blue Star,,4.0,Window,3965
Fridge,Whirlpool,233.0,3.0,Single Door,17090
Fridge,Voltas,404.0,3.0,Single Door,35594
Air Cooler,Symphony,,,Tower,12554
TV,Sony,,,Android,46651
Fridge,Godrej,438.0,3.0,Single Door,33587
Washing Machine,Samsung,5.0,3.0,Semi-Automatic,15787
TV,Samsung,,2.0,4K,26305
Air Cooler,Bajaj,,2.0,Portable,5320
TV,TCL,,5.0,4K,42324
Air Conditioner,Blue Star,,2.0,Inverter,58244
Air Conditioner,Carrier,,5.0,Inverter,40197
Washing Machine,Samsung,5.0,4.0,Top Load,25575
Fridge,LG,303.0,5.0,Double Door,34845
Fridge,Voltas,500.0,5.0,Side-by-Side,29069
Air Conditioner,Carrier,,,Split,41878
Air Cooler,Kenstar,,4.0,Window,3514
Air Cooler,Blue Star,,2.0,Window,8485
TV,Sony,,4.0,HD Ready,33795
Air Cooler,Kenstar,,,Window,12489
TV,Samsung,,,Android,43037
Air Conditioner,LG,,2.0,Split,30073
TV,LG,,3.0,HD Ready,22643
Air Cooler,Kenstar,,2.0,Portable,10071
TV,Samsung,,,HD Ready,29820
Washing Machine,Whirlpool,9.0,4.0,Semi-Automatic,35005
Washing Machine,IFB,7.0,2.0,Top Load,23497
TV,Mi,,2.0,HD Ready,47150
Air Conditioner,Voltas,,5.0,Inverter,28560
TV,Sony,,3.0,HD Ready,50200
Air Conditioner,Blue Star,,3.0,Inverter,43715
Air Cooler,Bajaj,,,Portable,8102
Washing Machine,IFB,5.0,3.0,Top Load,16872
Fridge,Samsung,481.0,2.0,Double Door,25460
TV,Mi,,4.0,Smart,19716
Fridge,Godrej,311.0,3.0,Side-by-Side,16447
Air Conditioner,Blue Star,,3.0,Split,46137
Fridge,LG,207.0,3.0,Double Door,38472
Air Conditioner,Blue Star,,4.0,Inverter,27658
Washing Machine,Whirlpool,9.0,3.0,Top Load,13427
TV,Sony,,,Android,36435
Fridge,Whirlpool,472.0,4.0,Double Door,33685
Washing Machine,Whirlpool,6.0,3.0,Front Load,26196
Washing Machine,Samsung,9.0,,Semi-Automatic,17073
TV,TCL,,5.0,Smart,16000
Air Cooler,Bajaj,,5.0,Tower,5599
Air Cooler,Voltas,,5.0,Window,9957
Air Conditioner,LG,,,Window,61269
Washing Machine,Whirlpool,7.0,4.0,Semi-Automatic,12645
Washing Machine,LG,5.0,,Top Load,35114
Air Conditioner,LG,,,Inverter,42210
Fridge,LG,248.0,,Single Door,25192
Fridge,LG,268.0,2.0,Single Door,28053
TV,LG,,4.0,Smart,40935
Washing Machine,LG,6.0,,Top Load,26135
Air Cooler,Blue Star,,,Window,7926
Fridge,Whirlpool,106.0,3.0,Side-by-Side,38213
Air Conditioner,Carrier,,4.0,Split,26623
Washing Machine,IFB,6.0,4.0,Front Load,30083
TV,Samsung,,5.0,Android,21447
Air Conditioner,Blue Star,,4.0,Split,31378
Air Cooler,Voltas,,5.0,Window,12009
Air Cooler,Blue Star,,,Portable,7419
Fridge,Samsung,281.0,3.0,Single Door,33950
Washing Machine,Godrej,5.0,4.0,Top Load,33826
Air Cooler,Symphony,,2.0,Portable,4891
Air Conditioner,Carrier,,4.0,Split,59513
Washing Machine,IFB,5.0,2.0,Top Load,33259
Air Conditioner,Daikin,,4.0,Window,52516
Air Conditioner,Voltas,,5.0,Inverter,39299
TV,Sony,,2.0,Android,38845
Air Conditioner,Voltas,,,Window,27527
TV,LG,,3.0,HD Ready,33811
Air Cooler,Voltas,,5.0,Window,8104
TV,Samsung,,4.0,4K,17356
Air Conditioner,Blue Star,,3.0,Split,37423
Fridge,Samsung,161.0,5.0,Single Door,25892
Washing Machine,IFB,7.0,,Front Load,17516
Fridge,Voltas,351.0,3.0,Side-by-Side,33917
Washing Machine,Samsung,9.0,,Semi-Automatic,24535
Washing Machine,Whirlpool,7.0,3.0,Front Load,30728
TV,Mi,,5.0,Android,35612
TV,TCL,,,HD Ready,43414
Washing Machine,Whirlpool,5.0,,Semi-Automatic,28491
Washing Machine,Godrej,9.0,2.0,Top Load,26141
TV,Samsung,,,Smart,19285
Air Cooler,Bajaj,,4.0,Window,5565
Air Conditioner,LG,,5.0,Inverter,31142
TV,TCL,,3.0,Smart,17204
Washing Machine,Samsung,9.0,4.0,Semi-Automatic,34697
Fridge,Voltas,163.0,2.0,Side-by-Side,15616
Washing Machine,Whirlpool,10.0,4.0,Top Load,17193
TV,LG,,2.0,Smart,45980
Fridge,Whirlpool,471.0,2.0,Single Door,34773
Washing Machine,LG,5.0,5.0,Front Load,22937
TV,TCL,,5.0,Android,25059
Washing Machine,Godrej,6.0,3.0,Front Load,22333
TV,Mi,,2.0,Smart,28852
Fridge,LG,397.0,,Side-by-Side,34195
Air Conditioner,Blue Star,,2.0,Inverter,55506
Air Conditioner,LG,,3.0,Window,34026
Washing Machine,Samsung,10.0,5.0,Semi-Automatic,28961
Air Cooler,Symphony,,3.0,Tower,11074
Air Cooler,Bajaj,,,Tower,6856
Air Cooler,Blue Star,,,Window,10996
TV,Mi,,5.0,4K,42144
Air Conditioner,Voltas,,2.0,Split,53494
TV,Samsung,,4.0,4K,24565
Fridge,Samsung,182.0,5.0,Side-by-Side,17643
Washing Machine,Whirlpool,8.0,5.0,Top Load,29355
Air Cooler,Kenstar,,4.0,Portable,5062
Washing Machine,Whirlpool,9.0,5.0,Front Load,17974
Fridge,Samsung,450.0,5.0,Side-by-Side,30447
Air Conditioner,Carrier,,5.0,Split,26751
Air Cooler,Kenstar,,3.0,Portable,7993
Air Cooler,Blue Star,,5.0,Window,12544
Fridge,Whirlpool,309.0,5.0,Side-by-Side,21929
Air Conditioner,LG,,2.0,Window,53591
Air Conditioner,Voltas,,5.0,Window,38041
Air Conditioner,Carrier,,2.0,Window,45462
TV,Mi,,,Android,25685
Air Cooler,Blue Star,,5.0,Window,4423
Air Conditioner,Blue Star,,,Split,51999
Air Cooler,Kenstar,,5.0,Window,5669
Fridge,Samsung,246.0,5.0,Side-by-Side,21900
Washing Machine,LG,10.0,2.0,Front Load,16605
Air Cooler,Bajaj,,2.0,Window,7084
TV,LG,,4.0,Android,32184
Fridge,Voltas,250.0,5.0,Single Door,26983
Air Cooler,Bajaj,,4.0,Window,10522
Fridge,Whirlpool,424.0,4.0,Single Door,24134
TV,TCL,,3.0,Smart,41415
Washing Machine,Godrej,6.0,3.0,Front Load,21836
Washing Machine,Samsung,7.0,2.0,Semi-Automatic,18148
Fridge,LG,414.0,4.0,Single Door,15759
TV,Mi,,4.0,HD Ready,39296
Air Conditioner,Blue Star,,5.0,Window,56961
Fridge,Voltas,452.0,3.0,Double Door,14607
TV,TCL,,2.0,HD Ready,44643
Air Cooler,Bajaj,,4.0,Tower,10724
Washing Machine,IFB,5.0,2.0,Semi-Automatic,19648
Washing Machine,Samsung,6.0,,Front Load,29321
TV,Mi,,3.0,HD Ready,27037
TV,Mi,,4.0,Smart,36694
Air Cooler,Voltas,,5.0,Portable,6994
Air Conditioner,Blue Star,,4.0,Inverter,36048
Washing Machine,Whirlpool,9.0,5.0,Front Load,13271
TV,Sony,,3.0,HD Ready,38495
Washing Machine,Samsung,10.0,2.0,Top Load,32376
Air Cooler,Voltas,,,Tower,10637
Fridge,LG,179.0,5.0,Double Door,16775
TV,Mi,,2.0,Android,38298
Air Conditioner,Voltas,,4.0,Inverter,53650
Air Conditioner,Voltas,,4.0,Window,51078
Washing Machine,Whirlpool,9.0,,Top Load,16657
Fridge,Godrej,104.0,3.0,Double Door,27876
Air Cooler,Kenstar,,4.0,Portable,8276
Fridge,Godrej,364.0,2.0,Side-by-Side,36405
TV,Mi,,,Android,21346
Air Conditioner,Blue Star,,3.0,Split,30857
TV,LG,,,4K,15365
Air Cooler,Blue Star,,3.0,Portable,2543
TV,Mi,,5.0,Smart,29888
Washing Machine,Godrej,10.0,2.0,Front Load,19253
Washing Machine,Godrej,7.0,3.0,Front Load,31653
Air Cooler,Blue Star,,3.0,Tower,6195
Fridge,Samsung,161.0,5.0,Double Door,28788
Air Conditioner,Daikin,,,Window,27179
TV,LG,,2.0,Smart,35848
Air Cooler,Blue Star,,2.0,Window,6605
Air Conditioner,Daikin,,3.0,Inverter,29688
Washing Machine,Godrej,9.0,3.0,Front Load,27884
Washing Machine,LG,9.0,3.0,Semi-Automatic,21285
Air Conditioner,Blue Star,,2.0,Inverter,31451
Fridge,LG,116.0,2.0,Single Door,19751
Air Conditioner,Blue Star,,4.0,Inverter,27667
Washing Machine,Godrej,10.0,4.0,Top Load,25199
Air Conditioner,Voltas,,,Inverter,29778
Washing Machine,IFB,6.0,2.0,Front Load,34580
Fridge,Voltas,459.0,4.0,Double Door,37050
Air Cooler,Kenstar,,2.0,Portable,10220
Air Cooler,Blue Star,,2.0,Window,8730
Air Cooler,Voltas,,,Window,3239
TV,LG,,3.0,Android,46660
Air Cooler,Blue Star,,2.0,Tower,8139
TV,Samsung,,5.0,4K,36278
Air Conditioner,LG,,3.0,Inverter,30439
TV,Sony,,4.0,4K,14997
Air Conditioner,LG,,5.0,Window,29069
Air Cooler,Bajaj,,5.0,Window,8001
TV,Samsung,,5.0,4K,32261
Air Cooler,Symphony,,4.0,Tower,10581
Fridge,Whirlpool,450.0,3.0,Double Door,33370
TV,LG,,3.0,HD Ready,37723
Fridge,Samsung,179.0,3.0,Single Door,41715
Air Conditioner,Daikin,,,Window,53972
TV,LG,,2.0,Android,24650
Air Conditioner,LG,,2.0,Window,56152
Fridge,LG,439.0,3.0,Double Door,38182
Air Cooler,Symphony,,5.0,Portable,3256
Air Conditioner,Blue Star,,,Inverter,56719
Washing Machine,LG,7.0,3.0,Front Load,23231
Fridge,Whirlpool,384.0,,Double Door,24871
Washing Machine,LG,9.0,4.0,Semi-Automatic,32414
Washing Machine,Godrej,7.0,5.0,Front Load,30146
Air Conditioner,Daikin,,3.0,Split,29726
Air Conditioner,LG,,3.0,Split,51193
Air Cooler,Blue Star,,2.0,Tower,7814
Washing Machine,Samsung,7.0,,Semi-Automatic,36014
Air Conditioner,Blue Star,,3.0,Inverter,34524
Washing Machine,LG,7.0,,Front Load,18017
Air Cooler,Kenstar,,3.0,Portable,4634
TV,Mi,,5.0,Smart,17982
Air Cooler,Voltas,,4.0,Window,10689
TV,Mi,,4.0,Android,50279
Air Cooler,Voltas,,5.0,Window,8764
Air Cooler,Voltas,,4.0,Tower,9251
Fridge,LG,424.0,4.0,Single Door,27399
Washing Machine,Godrej,5.0,4.0,Semi-Automatic,21715
Fridge,Godrej,473.0,3.0,Double Door,31555
Washing Machine,LG,5.0,3.0,Semi-Automatic,28796
Air Cooler,Symphony,,5.0,Tower,3302
Air Conditioner,Voltas,,5.0,Inverter,46023
Washing Machine,LG,9.0,5.0,Semi-Automatic,22556
Washing Machine,Samsung,9.0,3.0,Semi-Automatic,36474
Fridge,LG,288.0,3.0,Double Door,27345
Washing Machine,LG,7.0,3.0,Semi-Automatic,26064
Fridge,LG,144.0,5.0,Side-by-Side,29911
Air Conditioner,Carrier,,3.0,Inverter,57636
Washing Machine,IFB,6.0,3.0,Top Load,16893
Washing Machine,IFB,5.0,4.0,Front Load,24283
TV,Sony,,3.0,Smart,37037
TV,Sony,,5.0,4K,38412
